"Annex table 14. Value of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
West Asia, 53 507, 56 354, 52 914, 78 569, 41 040, 139 977, 93 404, 53 139, 63 488, 40 601, 57 084, 37 886, 26 254, 43 857, 36 034, 70 724, 43 729, 35 839, 31 045, 76 546, 91 470
Armenia,  446,  89,  423,  326,  445,  591,  878,  229,  723,  466,  841,  727,  141,  228,  695,  617,  193,  45,  897,  276,  574
Azerbaijan, 16 376, 1 864, 1 410,  927, 2 030, 1 539, 1 474,  648, 1 380, 1 511,  844,  664,  417,  562,  968,  264,  726,  621,  43,  675, 1 256
Bahrain,  796,  402, 1 876, 5 713,  711, 7 531, 2 086, 2 353, 3 732, 1 103,  772,  604, 1 906, 3 035, 1 535, 1 082, 1 376, 1 180, 1 054, 2 282,  474
Georgia,  261,  170,  728,  849, 1 213, 2 514, 3 836, 1 047, 1 652,  687, 1 248,  746,  489,  494,  720, 1 236, 1 798,  252,  333,  692,  568
Iraq, 4 690,  167, 1 952, 4 089,  474, 12 813, 7 203, 3 567, 8 143, 1 362, 9 624, 1 880,  557, 3 297, 2 530, 4 756, 2 077, 1 110, 1 083, 1 045, 17 359
Jordan, 1 183,  154, 2 526, 4 946, 1 168, 11 882, 2 525, 2 143, 2 845, 1 407, 11 237, 1 532,  297, 2 776,  599,  291, 2 122,  256,  412,  383, 11 014
Kuwait,  628,  704,  598, 1 710,  347, 1 993,  763,  536,  771,  547, 2 044,  200,  68, 1 182,  224,  247,  430,  207,  100,  612,  193
Lebanon, 2 634, 1 220, 1 219, 2 022,  432, 2 133, 2 196, 1 312,  487,  187,  69, 1 127,  35,  39,  70,  121,  287,  27,  0,  12,  16
Oman, 2 767, 1 181, 1 240, 1 310, 1 939, 8 096, 7 776, 3 827, 4 404, 5 814, 2 647, 5 305, 1 659, 3 247, 4 721, 19 735, 3 360, 6 790, 4 892, 10 218, 2 027
Qatar, 7 479, 27 072, 8 605, 7 791, 1 257, 9 203, 14 965, 4 013, 3 602, 1 829, 1 077,  809, 1 200,  500,  473,  354, 1 542, 1 264, 1 317, 30 276,  248
Saudi Arabia, 1 826, 14 006, 2 043, 19 781, 4 148, 34 375, 15 425, 8 817, 13 398, 8 532, 6 490, 8 866, 6 401, 11 057, 6 861, 15 184, 11 722, 10 070, 9 141, 13 871, 28 834
Syrian Arab Republic,  184,  500, 12 290, 1 532, 2 548, 4 021, 3 487, 1 992, 1 593,  9,-,  3,-,  0,  6,  158,  19,-,-,-,-
Türkiye, 4 441, 3 012, 4 812, 11 101, 13 732, 17 683, 18 626, 10 380, 11 647, 7 970, 15 237, 4 314, 5 394, 8 401, 9 291, 15 984, 3 746, 4 754, 4 715, 4 233, 13 255
United Arab Emirates, 7 903, 3 950, 9 717, 16 137, 10 169, 22 208, 11 240, 10 847, 9 107, 8 873, 4 793, 10 442, 7 691, 9 033, 7 343, 10 566, 13 968, 9 266, 7 058, 11 590, 15 589
Yemen, 1 895, 1 862, 3 474,  259,  377, 2 345,  910, 1 413,  6,  306,  161,  668,-,  5,-,-,-,-,-,  357,-
State of Palestine,-,-,-,  76,  52, 1 050,  14,  15,-,-,  2,-,-,-,-,  128,  363,-,-,  26,  64
Central Asia, 14 561, 10 389, 5 798, 3 416, 9 919, 22 306, 5 175, 3 581, 14 263, 6 378, 2 889, 3 435, 14 766, 41 849, 8 172, 15 861, 11 879, 4 935, 5 955, 11 171, 29 721
Kazakhstan, 7 704, 7 879, 2 995, 2 649, 4 358, 16 654, 1 889, 2 412, 6 799, 1 227, 2 354, 2 055, 4 987, 39 449, 6 640, 7 722, 6 007, 1 633,  889, 1 644, 16 990
Kyrgyzstan,  369,  54,  135,  74, 3 356,  463,  45,-,  277,  58,  66,  70, 1 051,  135,  102,  136,  250,  8,-,  31, 1 069
Tajikistan,  565, 1 240, 1 089,  37,  300,  223,  539,  2, 1 063,  611,  156,  775,  322,  603,-,  30,  399,  473,  348,  18, 1 140
Turkmenistan, 1 737,  731,  14,  6,  975, 4 024, 1 357,  300, 2 219,  7,-,  34, 1 007,  159,-, 2 717,  206,-,-, 7 782,  135
Uzbekistan, 4 185,  485, 1 566,  651,  931,  941, 1 345,  867, 3 904, 4 475,  313,  501, 7 400, 1 503, 1 430, 5 256, 5 017, 2 821, 4 717, 1 696, 10 387
Latin America and the Caribbean, 102 899, 56 469, 65 779, 54 826, 55 816, 123 892, 107 629, 106 437, 117 658, 71 861, 145 534, 78 642, 67 292, 65 171, 66 423, 91 745, 118 656, 65 911, 69 706, 112 057, 122 308
South and Central America, 99 843, 54 942, 61 946, 51 427, 54 272, 118 576, 105 072, 104 521, 110 938, 70 798, 138 927, 77 077, 63 979, 61 842, 64 003, 88 604, 111 757, 63 251, 68 668, 108 137, 120 465
South America, 81 530, 43 992, 52 439, 31 714, 34 074, 76 296, 71 522, 84 625, 83 671, 50 467, 59 501, 32 914, 35 525, 36 369, 32 503, 50 847, 78 828, 44 705, 44 623, 54 510, 81 901
Argentina, 5 838, 3 632, 2 142, 3 262, 4 403, 5 818, 8 631, 6 144, 11 988, 5 834, 4 980, 3 352, 2 686, 11 772, 3 989, 8 115, 5 234, 4 073, 6 679, 7 357, 9 228
"Bolivia, Plurinational State of", 3 956, 2 356,  300,  312,  50,  941, 2 494,  970,  243,  9,  767,  599, 2 421, 1 043,  14, 1 349, 2 914,  312,  222,  71, 2 455
Brazil, 26 250, 17 624, 21 142, 11 399, 13 849, 34 058, 32 068, 41 010, 43 567, 26 943, 21 615, 15 385, 16 407, 9 141, 9 936, 18 848, 33 097, 16 852, 23 541, 21 423, 36 195
Chile, 23 240, 4 818, 5 675, 3 247, 3 005, 6 513, 13 394, 5 698, 14 321, 9 928, 10 876, 4 517, 8 782, 5 155, 4 662, 8 444, 8 515, 5 431, 5 352, 7 688, 22 027
Colombia, 8 867, 2 327, 3 922, 1 317, 3 865, 8 688, 2 646, 12 933, 6 793, 2 734, 10 954, 1 978, 2 297, 2 451, 2 725, 5 242, 5 892, 3 004, 4 240, 1 786, 3 313
Ecuador, 1 124, 1 917,  619, 1 064,  518,  529,  324,  108,  631,  402,  701,  419,  763, 1 247, 1 066, 1 597,  541,  679,  697,  224,  565
Guyana,-,  40,  293,  188,  10, 1 000,  12,  159,  45,  302,  115,-,  86,  1,  19,  4, 4 777, 9 016,  157, 13 537,  14
Paraguay,  4,  27,  8,-,  607,  246,  65,  369,  111,  401,  396,  292,  134,  497,  244,  436,  889, 3 413,  79,  131, 1 202
Peru, 4 121, 5 304, 9 467, 6 642, 2 629, 9 792, 10 564, 11 338, 4 371, 3 018, 6 029, 4 820,  826, 2 876, 3 996, 6 466, 12 262, 1 726, 2 304, 1 326, 1 773
Suriname,  355,-,-,-,-,  107,-,-,  160,  31,  78,-,  183,-,-,-,-,-,  123,  5,  1
Uruguay,  301, 1 664,  393, 1 200, 2 777, 4 356,  248,  709,  947,  559, 1 116,  926,  815,  349, 4 737,  233, 3 914,  155, 1 224,  930, 4 566
"Venezuela, Bolivarian Republic of", 7 476, 4 282, 8 478, 3 082, 2 360, 4 247, 1 075, 5 187,  494,  306, 1 877,  626,  124, 1 837, 1 116,  113,  792,  45,  5,  33,  562
Central America, 18 313, 10 950, 9 507, 19 714, 20 198, 42 280, 33 551, 19 895, 27 267, 20 331, 79 426, 44 163, 28 454, 25 474, 31 500, 37 757, 32 929, 18 546, 24 044, 53 627, 38 564
Belize,-,-,-,-,-,-,  5,  1,-,  221,  113,  5,  88,  1,-,  183,  18,-,  8,  4,  89
Costa Rica,  219,  71,  791,  751, 1 503,  501, 1 397, 1 565, 2 784,  439,  684,  834,  408,  335,  826, 1 300, 1 233, 1 801, 1 610, 2 470, 1 675
El Salvador,  608,  266,  85,  706,  355,  529,  731,  253,  478,  223,  954,  339,  54,  692,  455,  218,  331,  171,  313,  466,  291
Guatemala,  864,  374,  357,  57,  735,  937, 1 108,  889,  306,  400, 1 105,  397,  358,  225,  167,  465,  758,  120,  417,  518,  480
Honduras,  548,  372,  214,  56,  952, 1 062,  122,  248,  487,  66,  404, 1 099,  359,  273,  668,  526,  298,  403,  75,  191, 1 729
Mexico, 13 961, 9 130, 6 826, 17 481, 13 670, 35 855, 27 181, 15 274, 20 684, 17 997, 34 011, 33 299, 24 523, 23 200, 27 970, 33 782, 27 965, 14 472, 21 343, 46 059, 33 180
Nicaragua, 2 092,  332,  83,  153,  55,  160,  778,  272,  370,  331, 40 650,  663,  755,  104,  340,  643,  593,  295,  80,  142,  138
Panama,  21,  404, 1 152,  510, 2 927, 3 237, 2 228, 1 396, 2 160,  655, 1 505, 7 527, 1 908,  643, 1 075,  641, 1 733, 1 285,  199, 3 777,  983
Caribbean, 3 056, 1 527, 3 833, 3 399, 1 544, 5 316, 2 557, 1 916, 6 720, 1 064, 6 608, 1 564, 3 313, 3 329, 2 420, 3 141, 6 899, 2 660, 1 038, 3 921, 1 843
Antigua and Barbuda,-,-,-,-,-,  69,-,-,-,-,-, 2 125,  400,-,-,-,  65,-,-,  5,-
Barbados,-,  2,-,-,-,-,  28,  122,  227,  10,-,  240,-,  108,  231,  113,-,  2,  1,-,  43
Cuba,  294,  407,  900,  450,  130, 2 364,  958, 1 552,  446,  222,  268,  97,  815,  601,  702,  418, 4 544,  89,  7,  3,  59
Dominica,-,-,  56,-,  83,-,-,-,-,-,-,-,  1,-,-,  89,  127,-,-,-,-
Dominican Republic, 1 439,  656, 1 600,  804,  796, 2 306, 1 195,  253, 5 299,  661, 2 868,  991,  268, 1 616, 1 257, 2 170, 1 431, 2 534,  698, 3 724, 1 722
Grenada,-,-,-,-,  4,-,-,  4,  6,  30,  0,  1,  9,  2,-,-,  89,  89,  2,-,-
Haiti,-,-,  31,  161,-,  3,  49,  59,  350,  45,  470,-,  448,  575,  76,-,-,-,-,-,-
Jamaica,  351,  304,  260,  464,  29,  257,  38,  28,  494,  14, 1 365,  462, 1 454,  232,  356,  462,  919,  36,  209,  6,  10
Saint Kitts and Nevis,-,-,-,-,-,-,-,-,-,  73,-,-,-,-,-,  89,-,-,-,-,-
Saint Lucia,  84,-,-,-,  12,-,  1,  145,  65,  34,  150,  201,  120,  89,  537,  6,  23,  2,-,-,-
Saint Vincent and the Grenadines,-,-,  4,-,-,-,-,-,-,-,-,  33,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,  972,  160, 1 043, 1 520,  589,  387,  316,  24,  131,  121, 1 638,  14,  328,  305,  28,  92,  6,  1,  124,  188,  52
Aruba,  49,-,  653,-,-,  65,-,  6,  31,  89,-,  112,  67,  3,-,-,-,-,-,-,  174
Bahamas (the),  583,  65,  54,-,  17,  70,  5,  87,  495,  24,  26,  125,-,  23,-,  149,-,  5,  83,  37,-
Cayman Islands,-,-,  49,  59,  34,  310,  98,  248,  282,  214,  72,  214,  112,  10,  158,  92,  2,  71,  155,  9,-
Turks and Caicos Islands,-,-,-,-,-,  65,-,  31,-,-,  125,-,  224,-,-,-,-,-,-,-,-
Oceania, 1 455, 1 896,  41, 2 173,  965, 6 252, 2 283, 2 520, 3 278, 1 353, 1 072, 1 522,  474,  460,  863, 3 303,  76,-,  55, 1 391, 1 030
Fiji,  268,-,-,  221,  183,  111,  302,  34,  159,  35,  9,  98,  51,  54,  853,  7,  31,-,  3,  42,  302
"Micronesia, Federated States of",-,-,-,  132,-,-,-,-,-,  156,-,  31,  52,-,-,  31,-,-,-,-,-
Papua New Guinea, 1 187, 1 436,  7, 1 820,-, 4 206, 1 927, 2 195, 3 045, 1 123, 1 064, 1 075,  253,  367,  10, 2 714,-,-,  52, 1 015,  104
Samoa,-,-,-,-,-,  500,-,-,-,-,-,  318,  118,-,-,  52,-,-,-,-,  102
Solomon Islands,-,-,-,-,-,  35,  36,  221,  65,-,-,-,-,  31,-,-,-,-,-,-,-
Tonga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  328,  369
Vanuatu,-,-,-,-,-,-,-,-,-,-,-,-,-,  3,-,-,  45,-,-,  7,-
French Polynesia,-,-,-,-,-,-,-,  70,-,-,-,-,-,  3,-,-,-,-,-,-,  154
New Caledonia,-,  460,  35,-,  782, 1 400,  18,-,  10,  40,-,-,-,  3,-,  500,-,-,-,-,-
Memorandum,,,,,,,,,,,,,,,,,,,,,
Least developed countries (LDCs), 31 679, 19 468, 18 169, 15 929, 17 631, 50 039, 28 078, 34 932, 27 573, 25 261, 49 926, 46 163, 41 642, 41 357, 23 741, 43 419, 33 375, 32 374, 15 966, 27 735, 75 978
Landlocked countries (LLCs), 41 801, 17 815, 14 554, 13 088, 18 703, 45 503, 21 894, 22 578, 28 262, 20 701, 22 790, 17 446, 34 093, 55 870, 16 940, 45 902, 26 995, 13 590, 14 698, 32 758, 51 368
Small island developing states (SIDS), 8 598, 1 547, 3 189, 3 504, 2 221, 4 843, 2 171, 3 799, 9 281, 1 888, 7 449, 5 244, 3 558, 3 179, 3 767, 4 141, 3 477, 3 320, 1 468, 4 807, 3 694
,,,,,,,,,,,,,,,,,,,,,
"Source: UNCTAD, based on information from the Financial Times Ltd, fDi Markets (www.fDimarkets.com). ",,,,,,,,,,,,,,,,,,,,,
Note: Data refer to estimated amounts of capital investment. Totals exclude the financial centres in the Caribbean.,,,,,,,,,,,,,,,,,,,,,
